2023-09-28,16:20:42.704286,411.51,124.64,0.00,0.09,2.70,192.24,140.71,0.03,1.46,
2023-09-28,16:20:42.704286,29.88,847.02,1486.19,45.83,503,3.84,0.33,0.19,0.69,1.44,0.37,0.00,411.00,411.51,124.64,0.00,0.09,2.70,192.24,140.71,0.03,1.46,
2023-09-28,16:20:42.704286,29.88,847.02,1486.19,45.83,503,3.84,0.33,0.19,0.69,1.44,0.37,0.00,411.-- Default Test --
2023-09-28,16:20:43.761138,
2023-09-28,16:20:43.761138,==== Load Resistors for MIC6814====
2023-09-28,16:20:43.790780,CO, 818000
2023-09-28,16:20:43.806402,NH3, 151000
2023-09-28,16:20:43.822027,NO2, 16300
2023-09-28,16:20:43.837651,==== R0 for MIC6814====
2023-09-28,16:20:43.861294,CO, 818000
2023-09-28,16:20:43.869303,NH3, 151000
2023-09-28,16:20:43.884970,NO2, 16300
2023-09-28,16:20:43.900595,==== Equation to get the concetraition of CO, NH3 and NO2 ====
2023-09-28,16:20:43.963637,Conctration = exp((log(Rs/R0) - b)/m)
2023-09-28,16:20:44.010798,Parameter for CO, NH3 and NO2
2023-09-28,16:20:44.042069,m_CO, -0.85, b_CO, 1.26
2023-09-28,16:20:44.061923,m_NH3, -0.54, b_NH3, -0.24
2023-09-28,16:20:44.089632,m_NO2, 1.01, b_NO2, 1.85
2023-09-28,16:20:44.120796,==== DATA STRUCTURE ====
Date,time,T[C],P[hPA],z[m],H[%],CO2[ppm],CO[ppm],NH3[ppm],NO2[ppm],H2(CO)[ppm],Etanol(CO)[ppm],NH3(CO)[ppm],H2S(CO)[ppm],CH4(CO)[ppm],C3H8(CO)[ppm],Iso-butano(CO)[ppm],Etanol(NH3)[ppm],H2(NH3)[ppm],C3H8(NH3)[ppm],Iso-butano(NH3)[ppm],NO(NO2)[ppm],H2(NO2)[ppm],lot,lat,A_1,speed,Angle,SO2_AFE,O3_AFE,PM2.5
2023-09-28,16:20:44.424902,25.7,78970.0,1486.08,45.79,503,0.0709,0.0062,0.0043,0.70,0.0305,0.38,0.00,37.2536,5.0098,3.567,0.09,2.77,196.49,143.47,0.03,0.0152,-75.421675,6.166413,2158.3,0.24,2.81452346894534,0.31799227908958716,0.06170628712120779,0.32625432519017056,
2023-09-28,16:20:44.566312,26.2,78963.0,1485.85,45.81,512,0.0489,0.0055,0.0045,0.71,0.0187,0.40,0.00,9.4479,4.0972,3.0071,0.09,2.77,196.49,143.47,0.03,0.0086,-75.42173100000001,6.1665,2165.1,0.0,0.24385265575101692,0.1616971411039118,-0.015577880369984146,0.44253375264696365,
2023-09-28,16:20:44.680553,26.5,78969.0,1486.19,45.81,512,0.0401999999999999,0.0046,0.0048,0.71,0.0144999999999999,0.40,0.00,4.5845,3.1954,2.4349000000000003,0.09,2.77,196.49,143.47,0.03,0.0064,-75.42173100000001,6.1665,2165.1,0.0,1.7097292970988902,0.10441099359591827,-0.06352792667496807,0.00620643269421467,
2023-09-28,16:20:44.810816,26.8,78975.0,1486.01,45.82,512,0.0366,0.0040999999999999,0.005,0.71,0.0128,0.40,0.00,3.2418,2.6336,2.0662000000000003,0.09,2.74,194.35,142.08,0.03,0.0055,-75.42173100000001,6.1665,2165.1,0.0,0.42609587405389865,0.25044833344283424,0.0905131409499341,0.2575607775674425,
2023-09-28,16:20:44.936196,27.1,78977.0,1485.72,45.84,512,0.0344,0.0036,0.0052,0.70,0.0118,0.39,0.00,2.559,2.1541,1.7421,0.09,2.77,196.49,143.47,0.03,0.005,-75.42173100000001,6.1665,2165.1,0.0,0.40121631700405264,0.40783793867803264,0.08944387428317851,0.47444189736319564,
2023-09-28,16:20:45.066186,27.3,78973.0,1485.90,45.84,512,0.0331,0.0032,0.0054,0.70,0.011,0.38,0.00,2.1362,1.7829,1.4836,0.09,2.77,196.49,143.47,0.03,0.0046999999999999,-75.42173100000001,6.1665,2165.1,0.0,1.6826663572551555,0.06710790975519598,0.1800608721845246,0.35259972509057075,
2023-09-28,16:20:45.187990,27.5,78979.0,1485.83,45.84,512,0.0318,0.0028,0.0056999999999999,0.71,0.0106,0.40,0.00,1.9298,1.4922,1.2755,0.09,2.80,198.64,144.87,0.03,0.0045,-75.42173100000001,6.1665,2165.1,0.0,0.011173553456732063,0.4589718908404414,0.14098785548986692,0.19157709048380478,
2023-09-28,16:20:45.313815,27.8,78985.0,1485.66,45.87,512,0.031,0.0025,0.0058,0.71,0.0103,0.40,0.00,1.7416,1.2619,1.1063,0.09,2.77,196.49,143.47,0.03,0.0043,-75.42173100000001,6.1665,2165.1,0.0,1.1921627435050797,0.3894399941970693,0.18723913654414523,0.15193631710396488,
2023-09-28,16:20:45.439234,28.0,78991.0,1485.77,45.88,512,0.0306,0.0023,0.006,0.71,0.0101,0.40,0.00,1.6711,1.1103,0.9924,0.09,2.77,196.49,143.47,0.03,0.0042,-75.42173100000001,6.1665,2165.1,0.0,0.6107746040675059,0.4237343590651652,-0.016112737810249328,0.16832092764497253,
2023-09-28,16:20:45.567369,28.1,78991.0,1485.87,45.88,512,0.0301,0.0021,0.0062,0.71,0.0096,0.40,0.00,1.4442,0.9578,0.8754000000000001,0.09,2.77,196.49,143.47,0.03,0.004,-75.42173100000001,6.1665,2165.1,0.0,0.05598852258847371,0.16527575707120457,0.24309661614303005,0.4073340833175476,
2023-09-28,16:20:45.700209,28.3,78990.0,1485.90,45.88,512,0.0296,0.0019,0.0064,0.72,0.0097,0.41,0.00,1.4748,0.8592,0.7983,0.09,2.80,198.64,144.87,0.03,0.004,-75.42173100000001,6.1665,2165.1,0.0,2.5575583353499693,0.35407222709633546,0.2662469797163234,0.24478983130870036,
2023-09-28,16:20:45.825937,28.4,78996.0,1485.95,45.89,512,0.0289,0.0018,0.0067,0.71,0.0093999999999999,0.40,0.00,1.3558,0.763,0.7217,0.09,2.77,196.49,143.47,0.03,0.0039,-75.42173100000001,6.1665,2165.1,0.0,1.0604911537206694,0.3426651094128014,0.20384699015763613,0.40176763903452134,
2023-09-28,16:20:45.935572,28.6,78999.0,1485.86,45.89,512,0.0289,0.0017,0.0068,0.71,0.0093999999999999,0.40,0.00,1.3558,0.6978,0.669,0.09,2.80,198.64,144.87,0.03,0.0039,-75.42173100000001,6.1665,2165.1,0.0,1.1506306444979164,0.3835321571185582,0.11210994643751318,0.27587505590936184,
2023-09-28,16:20:46.077299,28.7,78995.0,1485.54,45.90,512,0.0288,0.0016,0.0069,0.71,0.0093,0.40,0.00,1.3274,0.6379,0.6199,0.09,2.80,198.64,144.87,0.03,0.0038,-75.42173100000001,6.1665,2165.1,0.0,1.8879758846592716,0.1582369486585652,0.3676329725847426,0.028952711991669988,
2023-09-28,16:20:46.203155,28.8,78992.0,1485.78,45.89,512,0.0286,0.0015,0.0070999999999999,0.71,0.0092,0.40,0.00,1.2996,0.5948,0.5841,0.09,2.80,198.64,144.87,0.03,0.0038,-75.42173100000001,6.1665,2165.1,0.0,0.6265590071996152,0.26547029038297304,0.13600778588217724,0.19104953598869817,
2023-09-28,16:20:46.329167,29.0,78993.0,1486.04,45.88,512,0.0283999999999999,0.0015,0.0072,0.71,0.0092,0.40,0.00,1.2722,0.5544,0.5503,0.09,2.83,200.82,146.28,0.03,0.0038,-75.42173100000001,6.1665,2165.1,0.0,2.3720952579838563,0.3390939902668064,0.16721846439093607,0.07154124853201027,
2023-09-28,16:20:46.443875,29.1,78990.0,1486.19,45.88,512,0.0283,0.0014,0.0073,0.71,0.0091,0.40,0.00,1.2454,0.5219,0.5228,0.09,2.80,198.64,144.87,0.03,0.0037,-75.42173100000001,6.1665,2165.1,0.0,2.4023843405670604,0.011799347616836653,0.1267073676444653,0.37449597012770214,
2023-09-28,16:20:46.574824,29.2,78994.0,1485.85,45.84,512,0.0283,0.0013,0.0075,0.71,0.0091,0.40,0.00,1.2454,0.4911999999999999,0.4965,0.09,2.80,198.64,144.87,0.03,0.0037,-75.42173100000001,6.1665,2165.1,0.0,2.1989225767349883,0.3813683487900484,0.35227892746619416,0.36221786621197893,
2023-09-28,16:20:46.700702,29.3,78992.0,1486.03,45.85,512,0.0279999999999999,0.0013,0.0076,0.71,0.009,0.40,0.00,1.1934,0.4621,0.4715,0.09,2.80,198.64,144.87,0.03,0.0037,-75.42173100000001,6.1665,2165.1,0.0,1.6347693826137024,0.029564941444126802,0.30975404123012024,0.199570740576118,
